feature,score_f_classif,p_value,selecionada_top_k
std_s,92.43767953224913,4.57632003026671e-17,True
mean_r,74.97196292307491,1.1214977726096403e-14,True
mean_v,74.96369557225981,1.1245444436020661e-14,True
mean_g,56.721434597865525,5.941630220148439e-12,True
glcm_contrast,55.26199567899112,1.0073771237776959e-11,True
mean_b,52.66668998316512,2.603112185271045e-11,True
glcm_correlation,20.915360655299075,1.0574704713511544e-05,True
std_b,18.614875012201466,3.0290673005809654e-05,True
std_g,13.935946131429793,0.00027569388827728856,True
std_v,13.556564500574009,0.0003312402041183202,True
std_r,13.458103327348347,0.00034744356245764455,False
glcm_homogeneity,10.023683640891363,0.0019022193976259978,False
mean_s,9.972549006178049,0.0019520715579454664,False
std_h,8.115101925680724,0.005062222576473681,False
hu_3,5.947271050893334,0.016010673902709154,False
hu_4,5.656621063194225,0.01875968040169421,False
extent,5.104732070772886,0.02542785224585007,False
eccentricity,4.661950691458366,0.03256698917145574,False
mean_h,3.916666777881689,0.04979998049822777,False
area,2.8709630389507588,0.09244648974090806,False
hu_5,2.2848353285875604,0.13293058207960431,False
glcm_energy,2.219410400917928,0.1385670688586909,False
circularity,2.1434187513932663,0.14545672274716742,False
hu_2,1.7517126632240139,0.18785003105959547,False
hu_6,1.3293282838286744,0.25091791925578383,False
hu_7,0.880051719896638,0.3498264824931345,False
perimeter,0.8152784204880626,0.36813763807951727,False
solidity,0.6200676905312243,0.4323724993010602,False
hu_1,0.0163864797374205,0.8983276634836824,False
